Id,Id2,Geography,Estimate; HOUSING OCCUPANCY - Total housing units,Percent; HOUSING OCCUPANCY - Total housing units,Estimate; HOUSING OCCUPANCY - Total housing units - Occupied housing units,Percent; HOUSING OCCUPANCY - Total housing units - Occupied housing units,Estimate; HOUSING OCCUPANCY - Total housing units - Vacant housing units,Percent; HOUSING OCCUPANCY - Total housing units - Vacant housing units,Estimate; HOUSING OCCUPANCY - Homeowner vacancy rate,Percent; HOUSING OCCUPANCY - Homeowner vacancy rate,Estimate; HOUSING OCCUPANCY - Rental vacancy rate,Percent; HOUSING OCCUPANCY - Rental vacancy rate
310M300US44300,44300,"State College, PA Metro Area",64938,64938,57037,87.8,7901,12.2,1.2,(X),2.3,(X)
310M300US44420,44420,"Staunton-Waynesboro, VA Metro Area",53638,53638,47852,89.2,5786,10.8,2.6,(X),8.4,(X)
310M300US44700,44700,"Stockton-Lodi, CA Metro Area",237752,237752,221707,93.3,16045,6.7,1.1,(X),4.6,(X)
310M300US44940,44940,"Sumter, SC Metro Area",46900,46900,40815,87,6085,13,1.8,(X),5,(X)
310M300US45060,45060,"Syracuse, NY Metro Area",289965,289965,256420,88.4,33545,11.6,1.9,(X),6,(X)
310M300US45220,45220,"Tallahassee, FL Metro Area",165539,165539,144286,87.2,21253,12.8,2.4,(X),6.4,(X)
310M300US45300,45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",1376984,1376984,1161839,84.4,215145,15.6,2.6,(X),7.1,(X)
310M300US45460,45460,"Terre Haute, IN Metro Area",74502,74502,65607,88.1,8895,11.9,2.8,(X),7.4,(X)
310M300US45500,45500,"Texarkana, TX-AR Metro Area",65038,65038,55780,85.8,9258,14.2,1.5,(X),8.4,(X)
310M300US45540,45540,"The Villages, FL Metro Area",63694,63694,49362,77.5,14332,22.5,3.3,(X),18.9,(X)
310M300US45780,45780,"Toledo, OH Metro Area",273080,273080,244742,89.6,28338,10.4,1.8,(X),6.3,(X)
310M300US45820,45820,"Topeka, KS Metro Area",104221,104221,92964,89.2,11257,10.8,1.8,(X),11.4,(X)
310M300US45940,45940,"Trenton, NJ Metro Area",144171,144171,130129,90.3,14042,9.7,2.2,(X),6.6,(X)
310M300US46060,46060,"Tucson, AZ Metro Area",450828,450828,395390,87.7,55438,12.3,2.2,(X),7.8,(X)
310M300US46140,46140,"Tulsa, OK Metro Area",421536,421536,375807,89.2,45729,10.8,1.9,(X),7.6,(X)
310M300US46220,46220,"Tuscaloosa, AL Metro Area",105027,105027,84006,80,21021,20,1.1,(X),5.7,(X)
310M300US46340,46340,"Tyler, TX Metro Area",88484,88484,78040,88.2,10444,11.8,2.6,(X),8.8,(X)
310M300US46520,46520,"Urban Honolulu, HI Metro Area",342982,342982,309548,90.3,33434,9.7,0.9,(X),5,(X)
310M300US46540,46540,"Utica-Rome, NY Metro Area",137326,137326,115930,84.4,21396,15.6,1.8,(X),5.6,(X)
310M300US46660,46660,"Valdosta, GA Metro Area",59322,59322,51447,86.7,7875,13.3,2.9,(X),7.1,(X)
310M300US46700,46700,"Vallejo-Fairfield, CA Metro Area",155091,155091,145315,93.7,9776,6.3,1.1,(X),4.7,(X)
310M300US47020,47020,"Victoria, TX Metro Area",39908,39908,35311,88.5,4597,11.5,1.3,(X),9.3,(X)
310M300US47220,47220,"Vineland-Bridgeton, NJ Metro Area",56299,56299,50718,90.1,5581,9.9,1.5,(X),5.5,(X)
310M300US47260,47260,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",706394,706394,636750,90.1,69644,9.9,2,(X),6.9,(X)
310M300US47300,47300,"Visalia-Porterville, CA Metro Area",145661,145661,134153,92.1,11508,7.9,1.7,(X),3.2,(X)
310M300US47380,47380,"Waco, TX Metro Area",105463,105463,92632,87.8,12831,12.2,1.6,(X),5.4,(X)
310M300US47460,47460,"Walla Walla, WA Metro Area",25996,25996,23540,90.6,2456,9.4,1.6,(X),5.3,(X)
310M300US47580,47580,"Warner Robins, GA Metro Area",76531,76531,67983,88.8,8548,11.2,1.2,(X),7.9,(X)
310M300US47900,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",2303093,2303093,2155967,93.6,147126,6.4,1.2,(X),4.9,(X)
310M300US47940,47940,"Waterloo-Cedar Falls, IA Metro Area",72485,72485,67011,92.4,5474,7.6,1.7,(X),7.2,(X)
310M300US48060,48060,"Watertown-Fort Drum, NY Metro Area",58728,58728,43428,73.9,15300,26.1,2.8,(X),7.1,(X)
310M300US48140,48140,"Wausau, WI Metro Area",58358,58358,54003,92.5,4355,7.5,1.6,(X),3.7,(X)
310M300US48260,48260,"Weirton-Steubenville, WV-OH Metro Area",57805,57805,50554,87.5,7251,12.5,1.6,(X),7.7,(X)
310M300US48300,48300,"Wenatchee, WA Metro Area",52465,52465,41548,79.2,10917,20.8,1.2,(X),7,(X)
310M300US48540,48540,"Wheeling, WV-OH Metro Area",69048,69048,59557,86.3,9491,13.7,0.8,(X),7.3,(X)
310M300US48620,48620,"Wichita, KS Metro Area",270248,270248,243758,90.2,26490,9.8,1.9,(X),7.8,(X)
310M300US48660,48660,"Wichita Falls, TX Metro Area",65273,65273,56052,85.9,9221,14.1,2.5,(X),10.7,(X)
310M300US48700,48700,"Williamsport, PA Metro Area",52644,52644,45587,86.6,7057,13.4,1.1,(X),7.1,(X)
310M300US48900,48900,"Wilmington, NC Metro Area",132942,132942,110133,82.8,22809,17.2,2.1,(X),7.7,(X)
310M300US49020,49020,"Winchester, VA-WV Metro Area",58195,58195,50487,86.8,7708,13.2,2.3,(X),5.2,(X)
310M300US49180,49180,"Winston-Salem, NC Metro Area",291225,291225,259085,89,32140,11,2.3,(X),8.5,(X)
